GEOID,NAME,B19013_001E
13121001302,Census Tract 13.02; Fulton County; Georgia,129750
13121001400,Census Tract 14; Fulton County; Georgia,91943
13121001501,Census Tract 15.01; Fulton County; Georgia,63867
13121001502,Census Tract 15.02; Fulton County; Georgia,87206
13121001600,Census Tract 16; Fulton County; Georgia,116385
13121001701,Census Tract 17.01; Fulton County; Georgia,98086
13121001702,Census Tract 17.02; Fulton County; Georgia,120304
13121001801,Census Tract 18.01; Fulton County; Georgia,34219
13121001802,Census Tract 18.02; Fulton County; Georgia,66875
13121001901,Census Tract 19.01; Fulton County; Georgia,56204
13121001902,Census Tract 19.02; Fulton County; Georgia,73618
13121002100,Census Tract 21; Fulton County; Georgia,63455
13121002300,Census Tract 23; Fulton County; Georgia,36050
13121002400,Census Tract 24; Fulton County; Georgia,32763
13121002500,Census Tract 25; Fulton County; Georgia,32042
13121002600,Census Tract 26; Fulton County; Georgia,34688
13121002801,Census Tract 28.01; Fulton County; Georgia,74375
13121002802,Census Tract 28.02; Fulton County; Georgia,16658
13121002900,Census Tract 29; Fulton County; Georgia,100718
13121003000,Census Tract 30; Fulton County; Georgia,147067
13121003100,Census Tract 31; Fulton County; Georgia,135247
13121003200,Census Tract 32; Fulton County; Georgia,113214
13121003500,Census Tract 35; Fulton County; Georgia,53254
13121003600,Census Tract 36; Fulton County; Georgia,77037
13121003700,Census Tract 37; Fulton County; Georgia,-666666666
13121003800,Census Tract 38; Fulton County; Georgia,40640
13121003900,Census Tract 39; Fulton County; Georgia,33438
13121004000,Census Tract 40; Fulton County; Georgia,69333
13121004100,Census Tract 41; Fulton County; Georgia,74041
13121004200,Census Tract 42; Fulton County; Georgia,24464
13121004300,Census Tract 43; Fulton County; Georgia,-666666666
13121004400,Census Tract 44; Fulton County; Georgia,29311
13121004800,Census Tract 48; Fulton County; Georgia,17279
13121004900,Census Tract 49; Fulton County; Georgia,87449
13121005000,Census Tract 50; Fulton County; Georgia,90188
13121005200,Census Tract 52; Fulton County; Georgia,165815
13121005300,Census Tract 53; Fulton County; Georgia,132979
13121005501,Census Tract 55.01; Fulton County; Georgia,60313
13121005503,Census Tract 55.03; Fulton County; Georgia,19777
13121005504,Census Tract 55.04; Fulton County; Georgia,51534
13121005700,Census Tract 57; Fulton County; Georgia,40652
13121005800,Census Tract 58; Fulton County; Georgia,64917
13121006000,Census Tract 60; Fulton County; Georgia,58935
13121006100,Census Tract 61; Fulton County; Georgia,48627
13121006200,Census Tract 62; Fulton County; Georgia,60750
13121006300,Census Tract 63; Fulton County; Georgia,40075
13121006400,Census Tract 64; Fulton County; Georgia,45781
13121006500,Census Tract 65; Fulton County; Georgia,70234
13121006601,Census Tract 66.01; Fulton County; Georgia,73304
13121006602,Census Tract 66.02; Fulton County; Georgia,21346
13121006701,Census Tract 67.01; Fulton County; Georgia,27946
13121006702,Census Tract 67.02; Fulton County; Georgia,55282
13121006801,Census Tract 68.01; Fulton County; Georgia,-666666666
13121006802,Census Tract 68.02; Fulton County; Georgia,16282
13121006900,Census Tract 69; Fulton County; Georgia,67425
13121007001,Census Tract 70.01; Fulton County; Georgia,33796
13121007002,Census Tract 70.02; Fulton County; Georgia,54217
13121007100,Census Tract 71; Fulton County; Georgia,29016
13121007200,Census Tract 72; Fulton County; Georgia,53125
13121007301,Census Tract 73.01; Fulton County; Georgia,43631
13121007302,Census Tract 73.02; Fulton County; Georgia,22500
13121007400,Census Tract 74; Fulton County; Georgia,29162
13121007500,Census Tract 75; Fulton County; Georgia,21926
13121007602,Census Tract 76.02; Fulton County; Georgia,45028
13121007603,Census Tract 76.03; Fulton County; Georgia,22250
13121007604,Census Tract 76.04; Fulton County; Georgia,27215
13121007703,Census Tract 77.03; Fulton County; Georgia,56063
13121007705,Census Tract 77.05; Fulton County; Georgia,35104
13121007707,Census Tract 77.07; Fulton County; Georgia,70387
13121007708,Census Tract 77.08; Fulton County; Georgia,69799
13121007709,Census Tract 77.09; Fulton County; Georgia,80851
13121007710,Census Tract 77.10; Fulton County; Georgia,52657
13121007711,Census Tract 77.11; Fulton County; Georgia,39450
13121007805,Census Tract 78.05; Fulton County; Georgia,58028
13121007806,Census Tract 78.06; Fulton County; Georgia,49652
13121007807,Census Tract 78.07; Fulton County; Georgia,39668
13121007808,Census Tract 78.08; Fulton County; Georgia,15625
13121007809,Census Tract 78.09; Fulton County; Georgia,61958
13121007810,Census Tract 78.10; Fulton County; Georgia,53887
13121007900,Census Tract 79; Fulton County; Georgia,87911
13121008000,Census Tract 80; Fulton County; Georgia,45734
13121008103,Census Tract 81.03; Fulton County; Georgia,32908
13121008104,Census Tract 81.04; Fulton County; Georgia,49167
13121008202,Census Tract 82.02; Fulton County; Georgia,-666666666
13121008203,Census Tract 82.03; Fulton County; Georgia,22088
13121008204,Census Tract 82.04; Fulton County; Georgia,47771
13121008301,Census Tract 83.01; Fulton County; Georgia,31543
13121008302,Census Tract 83.02; Fulton County; Georgia,-666666666
13121008400,Census Tract 84; Fulton County; Georgia,-666666666
13121008500,Census Tract 85; Fulton County; Georgia,47566
13121008601,Census Tract 86.01; Fulton County; Georgia,32768
13121008602,Census Tract 86.02; Fulton County; Georgia,40060
13121008701,Census Tract 87.01; Fulton County; Georgia,47228
13121008702,Census Tract 87.02; Fulton County; Georgia,77627
13121008801,Census Tract 88.01; Fulton County; Georgia,111157
13121008802,Census Tract 88.02; Fulton County; Georgia,198611
13121008903,Census Tract 89.03; Fulton County; Georgia,90492
13121008905,Census Tract 89.05; Fulton County; Georgia,121589
13121008906,Census Tract 89.06; Fulton County; Georgia,200236
13121008907,Census Tract 89.07; Fulton County; Georgia,86111
13121008908,Census Tract 89.08; Fulton County; Georgia,48952
13121008909,Census Tract 89.09; Fulton County; Georgia,128585
13121009001,Census Tract 90.01; Fulton County; Georgia,80992
13121009002,Census Tract 90.02; Fulton County; Georgia,250001
13121009103,Census Tract 91.03; Fulton County; Georgia,92522
13121009104,Census Tract 91.04; Fulton County; Georgia,94306
13121009105,Census Tract 91.05; Fulton County; Georgia,250001
13121009106,Census Tract 91.06; Fulton County; Georgia,96274
13121009201,Census Tract 92.01; Fulton County; Georgia,58188
13121009202,Census Tract 92.02; Fulton County; Georgia,101993
13121009203,Census Tract 92.03; Fulton County; Georgia,81096
13121009301,Census Tract 93.01; Fulton County; Georgia,129083
13121009302,Census Tract 93.02; Fulton County; Georgia,148662
13121009405,Census Tract 94.05; Fulton County; Georgia,74424
13121009406,Census Tract 94.06; Fulton County; Georgia,78365
13121009407,Census Tract 94.07; Fulton County; Georgia,93601
13121009408,Census Tract 94.08; Fulton County; Georgia,52031
13121009409,Census Tract 94.09; Fulton County; Georgia,84886
13121009410,Census Tract 94.10; Fulton County; Georgia,91622
13121009411,Census Tract 94.11; Fulton County; Georgia,104779
13121009501,Census Tract 95.01; Fulton County; Georgia,151404
13121009503,Census Tract 95.03; Fulton County; Georgia,42832
13121009504,Census Tract 95.04; Fulton County; Georgia,92109
13121009601,Census Tract 96.01; Fulton County; Georgia,126875
13121009604,Census Tract 96.04; Fulton County; Georgia,68302
13121009605,Census Tract 96.05; Fulton County; Georgia,99375
13121009606,Census Tract 96.06; Fulton County; Georgia,239511
13121009607,Census Tract 96.07; Fulton County; Georgia,104017
13121009700,Census Tract 97; Fulton County; Georgia,250001
13121009802,Census Tract 98.02; Fulton County; Georgia,178594
13121009803,Census Tract 98.03; Fulton County; Georgia,83015
13121009804,Census Tract 98.04; Fulton County; Georgia,250001
13121009900,Census Tract 99; Fulton County; Georgia,180500
13121010003,Census Tract 100.03; Fulton County; Georgia,137723
13121010004,Census Tract 100.04; Fulton County; Georgia,241607
13121010005,Census Tract 100.05; Fulton County; Georgia,250001
13121010006,Census Tract 100.06; Fulton County; Georgia,102841
13121010007,Census Tract 100.07; Fulton County; Georgia,224000
13121010106,Census Tract 101.06; Fulton County; Georgia,92321
13121010107,Census Tract 101.07; Fulton County; Georgia,250001
13121010108,Census Tract 101.08; Fulton County; Georgia,144047
13121010115,Census Tract 101.15; Fulton County; Georgia,164881
13121010117,Census Tract 101.17; Fulton County; Georgia,72000
13121010120,Census Tract 101.20; Fulton County; Georgia,80515
13121010121,Census Tract 101.21; Fulton County; Georgia,111058
13121010124,Census Tract 101.24; Fulton County; Georgia,82743
13121010125,Census Tract 101.25; Fulton County; Georgia,75971
13121010126,Census Tract 101.26; Fulton County; Georgia,86849
13121010127,Census Tract 101.27; Fulton County; Georgia,130431
13121010128,Census Tract 101.28; Fulton County; Georgia,112941
13121010129,Census Tract 101.29; Fulton County; Georgia,92763
13121010130,Census Tract 101.30; Fulton County; Georgia,101123
13121010131,Census Tract 101.31; Fulton County; Georgia,65893
13121010132,Census Tract 101.32; Fulton County; Georgia,68827
13121010133,Census Tract 101.33; Fulton County; Georgia,95581
13121010134,Census Tract 101.34; Fulton County; Georgia,72469
13121010135,Census Tract 101.35; Fulton County; Georgia,37264
13121010136,Census Tract 101.36; Fulton County; Georgia,118953
13121010137,Census Tract 101.37; Fulton County; Georgia,81425
13121010204,Census Tract 102.04; Fulton County; Georgia,172500
13121010211,Census Tract 102.11; Fulton County; Georgia,198182
13121010212,Census Tract 102.12; Fulton County; Georgia,80172
13121010213,Census Tract 102.13; Fulton County; Georgia,70160
13121010214,Census Tract 102.14; Fulton County; Georgia,53090
13121010215,Census Tract 102.15; Fulton County; Georgia,123680
13121010216,Census Tract 102.16; Fulton County; Georgia,94663
13121010217,Census Tract 102.17; Fulton County; Georgia,92500
13121010218,Census Tract 102.18; Fulton County; Georgia,57776
13121010219,Census Tract 102.19; Fulton County; Georgia,76116
13121010220,Census Tract 102.20; Fulton County; Georgia,130139
13121010221,Census Tract 102.21; Fulton County; Georgia,95646
13121010222,Census Tract 102.22; Fulton County; Georgia,197250
13121010223,Census Tract 102.23; Fulton County; Georgia,222935
13121010305,Census Tract 103.05; Fulton County; Georgia,98194
13121010306,Census Tract 103.06; Fulton County; Georgia,145029
13121010307,Census Tract 103.07; Fulton County; Georgia,127937
13121010308,Census Tract 103.08; Fulton County; Georgia,89347
13121010309,Census Tract 103.09; Fulton County; Georgia,100689
13121010310,Census Tract 103.10; Fulton County; Georgia,96166
13121010311,Census Tract 103.11; Fulton County; Georgia,108800
13121010312,Census Tract 103.12; Fulton County; Georgia,98977
13121010313,Census Tract 103.13; Fulton County; Georgia,95567
13121010314,Census Tract 103.14; Fulton County; Georgia,102956
13121010315,Census Tract 103.15; Fulton County; Georgia,93065
13121010401,Census Tract 104.01; Fulton County; Georgia,56883
13121010402,Census Tract 104.02; Fulton County; Georgia,76366
13121010508,Census Tract 105.08; Fulton County; Georgia,56182
13121010517,Census Tract 105.17; Fulton County; Georgia,71075
13121010518,Census Tract 105.18; Fulton County; Georgia,81421
13121010519,Census Tract 105.19; Fulton County; Georgia,61111
13121010520,Census Tract 105.20; Fulton County; Georgia,64916
13121010521,Census Tract 105.21; Fulton County; Georgia,49245
13121010522,Census Tract 105.22; Fulton County; Georgia,47548
13121010523,Census Tract 105.23; Fulton County; Georgia,55320
13121010524,Census Tract 105.24; Fulton County; Georgia,50000
13121010525,Census Tract 105.25; Fulton County; Georgia,45875
13121010526,Census Tract 105.26; Fulton County; Georgia,75521
13121010527,Census Tract 105.27; Fulton County; Georgia,39837
13121010528,Census Tract 105.28; Fulton County; Georgia,46431
13121010529,Census Tract 105.29; Fulton County; Georgia,64936
13121010530,Census Tract 105.30; Fulton County; Georgia,54726
13121010531,Census Tract 105.31; Fulton County; Georgia,66190
13121010532,Census Tract 105.32; Fulton County; Georgia,42731
13121010533,Census Tract 105.33; Fulton County; Georgia,52940
13121010534,Census Tract 105.34; Fulton County; Georgia,68889
13121010535,Census Tract 105.35; Fulton County; Georgia,137642
13121010536,Census Tract 105.36; Fulton County; Georgia,114886
13121010537,Census Tract 105.37; Fulton County; Georgia,83291
13121010538,Census Tract 105.38; Fulton County; Georgia,69497
13121010539,Census Tract 105.39; Fulton County; Georgia,85981
13121010540,Census Tract 105.40; Fulton County; Georgia,79920
13121010601,Census Tract 106.01; Fulton County; Georgia,62671
13121010603,Census Tract 106.03; Fulton County; Georgia,47226
13121010604,Census Tract 106.04; Fulton County; Georgia,28239
13121010801,Census Tract 108.01; Fulton County; Georgia,61593
13121010802,Census Tract 108.02; Fulton County; Georgia,64833
13121011000,Census Tract 110; Fulton County; Georgia,45685
13121011100,Census Tract 111; Fulton County; Georgia,77208
13121011202,Census Tract 112.02; Fulton County; Georgia,60295
13121011203,Census Tract 112.03; Fulton County; Georgia,51917
13121011204,Census Tract 112.04; Fulton County; Georgia,75625
13121011301,Census Tract 113.01; Fulton County; Georgia,78880
13121011306,Census Tract 113.06; Fulton County; Georgia,52554
13121011307,Census Tract 113.07; Fulton County; Georgia,42510
13121011308,Census Tract 113.08; Fulton County; Georgia,46327
13121011309,Census Tract 113.09; Fulton County; Georgia,74489
13121011310,Census Tract 113.10; Fulton County; Georgia,51408
13121011416,Census Tract 114.16; Fulton County; Georgia,144444
13121011417,Census Tract 114.17; Fulton County; Georgia,110648
13121011419,Census Tract 114.19; Fulton County; Georgia,149982
13121011421,Census Tract 114.21; Fulton County; Georgia,66923
13121011422,Census Tract 114.22; Fulton County; Georgia,114220
13121011423,Census Tract 114.23; Fulton County; Georgia,153720
13121011424,Census Tract 114.24; Fulton County; Georgia,128839
13121011426,Census Tract 114.26; Fulton County; Georgia,131875
13121011428,Census Tract 114.28; Fulton County; Georgia,152414
13121011429,Census Tract 114.29; Fulton County; Georgia,128607
13121011430,Census Tract 114.30; Fulton County; Georgia,48167
13121011431,Census Tract 114.31; Fulton County; Georgia,103775
13121011432,Census Tract 114.32; Fulton County; Georgia,87059
13121011433,Census Tract 114.33; Fulton County; Georgia,165500
13121011434,Census Tract 114.34; Fulton County; Georgia,82487
13121011435,Census Tract 114.35; Fulton County; Georgia,92451
13121011436,Census Tract 114.36; Fulton County; Georgia,180750
13121011437,Census Tract 114.37; Fulton County; Georgia,101263
13121011438,Census Tract 114.38; Fulton County; Georgia,112381
13121011439,Census Tract 114.39; Fulton County; Georgia,117422
13121011440,Census Tract 114.40; Fulton County; Georgia,180917
13121011441,Census Tract 114.41; Fulton County; Georgia,119893
13121011442,Census Tract 114.42; Fulton County; Georgia,116193
13121011443,Census Tract 114.43; Fulton County; Georgia,173036
13121011444,Census Tract 114.44; Fulton County; Georgia,171339
13121011445,Census Tract 114.45; Fulton County; Georgia,131477
13121011446,Census Tract 114.46; Fulton County; Georgia,202059
13121011505,Census Tract 115.05; Fulton County; Georgia,183000
13121011507,Census Tract 115.07; Fulton County; Georgia,245139
