locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13089023101,DeKalb,10.9,9.6,12.2,4281,2023,BRFSS
13089023102,DeKalb,10.9,9.6,12.1,3289,2023,BRFSS
13089023107,DeKalb,10.9,9.8,12.3,4482,2023,BRFSS
13089023108,DeKalb,12.5,11.1,14.0,4429,2023,BRFSS
13089023111,DeKalb,11.8,10.5,13.1,1870,2023,BRFSS
13089023112,DeKalb,12.1,10.7,13.6,3480,2023,BRFSS
13089023113,DeKalb,10.3,9.1,11.5,2985,2023,BRFSS
13089023114,DeKalb,10.8,9.6,12.1,2948,2023,BRFSS
13089023115,DeKalb,8.7,7.6,9.8,1395,2023,BRFSS
13089023209,DeKalb,11.0,9.7,12.3,5582,2023,BRFSS
13089023211,DeKalb,11.5,10.1,12.9,3324,2023,BRFSS
13089023212,DeKalb,11.5,10.2,12.9,3766,2023,BRFSS
13089023213,DeKalb,12.4,10.9,13.9,5754,2023,BRFSS
13089023214,DeKalb,12.3,10.8,13.8,6326,2023,BRFSS
13089023215,DeKalb,12.1,10.7,13.6,4638,2023,BRFSS
13089023216,DeKalb,11.3,10.1,12.7,3473,2023,BRFSS
13089023217,DeKalb,11.5,10.1,13.0,3907,2023,BRFSS
13089023218,DeKalb,12.2,10.9,13.7,3011,2023,BRFSS
13089023219,DeKalb,11.1,9.8,12.5,3689,2023,BRFSS
13089023220,DeKalb,11.2,9.9,12.7,3703,2023,BRFSS
13089023221,DeKalb,11.2,9.9,12.6,3064,2023,BRFSS
13089023222,DeKalb,12.3,11.0,13.9,3591,2023,BRFSS
13089023311,DeKalb,11.5,10.2,12.9,4300,2023,BRFSS
13089023313,DeKalb,12.0,10.6,13.4,4933,2023,BRFSS
13089023315,DeKalb,11.7,10.4,13.2,6559,2023,BRFSS
13089023317,DeKalb,12.6,11.2,14.1,3844,2023,BRFSS
13089023318,DeKalb,11.1,9.8,12.5,3870,2023,BRFSS
13089023319,DeKalb,12.6,11.1,14.2,3296,2023,BRFSS
13089023320,DeKalb,13.4,11.8,15.2,3558,2023,BRFSS
13089023321,DeKalb,12.6,11.1,14.1,4141,2023,BRFSS
13089023322,DeKalb,12.5,11.1,14.1,3004,2023,BRFSS
13089023323,DeKalb,11.3,10.1,12.7,3792,2023,BRFSS
13089023324,DeKalb,10.9,9.6,12.2,3391,2023,BRFSS
13089023325,DeKalb,11.2,9.9,12.5,4928,2023,BRFSS
13089023326,DeKalb,11.6,10.3,13.1,3292,2023,BRFSS
13089023327,DeKalb,12.1,10.7,13.6,6024,2023,BRFSS
13089023328,DeKalb,13.1,11.7,14.6,4641,2023,BRFSS
13089023329,DeKalb,11.4,10.0,12.8,4318,2023,BRFSS
13089023330,DeKalb,12.9,11.4,14.4,2918,2023,BRFSS
13089023331,DeKalb,12.9,11.4,14.6,3577,2023,BRFSS
13089023332,DeKalb,11.4,10.1,12.7,2698,2023,BRFSS
13089023410,DeKalb,12.8,11.2,14.4,5135,2023,BRFSS
13089023411,DeKalb,11.1,9.8,12.4,3856,2023,BRFSS
13089023413,DeKalb,11.4,10.1,12.8,3482,2023,BRFSS
13089023422,DeKalb,12.2,10.8,13.6,5786,2023,BRFSS
13089023424,DeKalb,12.1,10.7,13.5,5366,2023,BRFSS
13089023425,DeKalb,11.5,10.1,12.9,6142,2023,BRFSS
13089023426,DeKalb,11.4,10.1,12.7,4604,2023,BRFSS
13089023427,DeKalb,12.4,11.0,14.1,2947,2023,BRFSS
13089023429,DeKalb,13.0,11.6,14.5,3745,2023,BRFSS
13089023430,DeKalb,13.1,11.6,14.8,5543,2023,BRFSS
13089023431,DeKalb,12.3,10.9,13.9,2032,2023,BRFSS
13089023432,DeKalb,11.5,10.1,12.8,4092,2023,BRFSS
13089023433,DeKalb,12.6,11.0,14.1,4186,2023,BRFSS
13089023434,DeKalb,11.7,10.3,13.1,4621,2023,BRFSS
13089023435,DeKalb,11.5,10.1,13.1,1973,2023,BRFSS
13089023436,DeKalb,12.1,10.7,13.5,3166,2023,BRFSS
13089023437,DeKalb,11.6,10.3,13.0,6527,2023,BRFSS
13089023438,DeKalb,12.4,11.0,13.8,5508,2023,BRFSS
13089023439,DeKalb,12.1,10.7,13.8,3334,2023,BRFSS
13089023440,DeKalb,11.0,9.7,12.3,4897,2023,BRFSS
13089023441,DeKalb,11.5,10.2,12.9,3713,2023,BRFSS
13089023442,DeKalb,11.9,10.5,13.4,3946,2023,BRFSS
13089023443,DeKalb,11.5,10.2,12.9,5716,2023,BRFSS
13089023444,DeKalb,12.2,10.9,13.7,2270,2023,BRFSS
13089023445,DeKalb,11.2,9.9,12.5,4218,2023,BRFSS
13089023446,DeKalb,12.2,10.8,13.6,1888,2023,BRFSS
13089023447,DeKalb,11.1,9.8,12.5,2643,2023,BRFSS
13089023448,DeKalb,11.6,10.3,13.0,3816,2023,BRFSS
13089023501,DeKalb,11.8,10.4,13.2,3259,2023,BRFSS
13089023504,DeKalb,11.4,10.1,12.9,3349,2023,BRFSS
13089023505,DeKalb,11.3,10.0,12.6,2627,2023,BRFSS
13089023506,DeKalb,12.0,10.6,13.4,6170,2023,BRFSS
13089023507,DeKalb,11.8,10.5,13.3,4396,2023,BRFSS
13089023601,DeKalb,10.4,9.2,11.7,2756,2023,BRFSS
13089023602,DeKalb,10.8,9.5,12.1,2352,2023,BRFSS
13089023603,DeKalb,12.1,10.7,13.5,3317,2023,BRFSS
13089023701,DeKalb,9.9,8.8,11.1,2640,2023,BRFSS
13089023702,DeKalb,12.6,11.2,14.1,3811,2023,BRFSS
13089023801,DeKalb,10.5,9.3,11.8,4510,2023,BRFSS
13089023802,DeKalb,11.3,10.1,12.8,4045,2023,BRFSS
13089023803,DeKalb,11.2,9.9,12.6,4988,2023,BRFSS
13121000100,Fulton,8.6,7.6,9.7,5679,2023,BRFSS
13121000201,Fulton,8.3,7.4,9.3,2751,2023,BRFSS
13121000202,Fulton,8.1,7.2,9.1,3316,2023,BRFSS
13121000400,Fulton,8.0,7.1,9.0,1865,2023,BRFSS
13121000501,Fulton,8.3,7.4,9.3,4281,2023,BRFSS
13121000502,Fulton,8.5,7.5,9.6,1959,2023,BRFSS
13121000601,Fulton,9.1,8.1,10.3,4243,2023,BRFSS
13121000602,Fulton,8.1,7.2,9.1,3288,2023,BRFSS
13121000700,Fulton,8.7,7.7,9.9,3500,2023,BRFSS
13121001001,Fulton,8.5,7.5,9.6,4895,2023,BRFSS
13121001002,Fulton,9.7,8.5,10.9,7010,2023,BRFSS
