GEOID,NAME,B01003_001E
13089023330,Census Tract 233.30; DeKalb County; Georgia,4252
13089023331,Census Tract 233.31; DeKalb County; Georgia,3256
13089023332,Census Tract 233.32; DeKalb County; Georgia,2671
13089023410,Census Tract 234.10; DeKalb County; Georgia,3453
13089023411,Census Tract 234.11; DeKalb County; Georgia,3341
13089023413,Census Tract 234.13; DeKalb County; Georgia,3852
13089023422,Census Tract 234.22; DeKalb County; Georgia,6199
13089023424,Census Tract 234.24; DeKalb County; Georgia,5436
13089023425,Census Tract 234.25; DeKalb County; Georgia,6246
13089023426,Census Tract 234.26; DeKalb County; Georgia,4184
13089023427,Census Tract 234.27; DeKalb County; Georgia,2994
13089023429,Census Tract 234.29; DeKalb County; Georgia,4028
13089023430,Census Tract 234.30; DeKalb County; Georgia,4437
13089023431,Census Tract 234.31; DeKalb County; Georgia,1823
13089023432,Census Tract 234.32; DeKalb County; Georgia,3656
13089023433,Census Tract 234.33; DeKalb County; Georgia,5275
13089023434,Census Tract 234.34; DeKalb County; Georgia,4588
13089023435,Census Tract 234.35; DeKalb County; Georgia,3040
13089023436,Census Tract 234.36; DeKalb County; Georgia,3319
13089023437,Census Tract 234.37; DeKalb County; Georgia,7085
13089023438,Census Tract 234.38; DeKalb County; Georgia,3769
13089023439,Census Tract 234.39; DeKalb County; Georgia,2812
13089023440,Census Tract 234.40; DeKalb County; Georgia,3821
13089023441,Census Tract 234.41; DeKalb County; Georgia,3177
13089023442,Census Tract 234.42; DeKalb County; Georgia,2928
13089023443,Census Tract 234.43; DeKalb County; Georgia,6296
13089023444,Census Tract 234.44; DeKalb County; Georgia,2072
13089023445,Census Tract 234.45; DeKalb County; Georgia,3548
13089023446,Census Tract 234.46; DeKalb County; Georgia,2088
13089023447,Census Tract 234.47; DeKalb County; Georgia,2804
13089023448,Census Tract 234.48; DeKalb County; Georgia,3276
13089023501,Census Tract 235.01; DeKalb County; Georgia,3582
13089023504,Census Tract 235.04; DeKalb County; Georgia,2882
13089023505,Census Tract 235.05; DeKalb County; Georgia,2991
13089023506,Census Tract 235.06; DeKalb County; Georgia,6126
13089023507,Census Tract 235.07; DeKalb County; Georgia,3502
13089023601,Census Tract 236.01; DeKalb County; Georgia,2770
13089023602,Census Tract 236.02; DeKalb County; Georgia,2234
13089023603,Census Tract 236.03; DeKalb County; Georgia,4140
13089023701,Census Tract 237.01; DeKalb County; Georgia,2590
13089023702,Census Tract 237.02; DeKalb County; Georgia,2992
13089023801,Census Tract 238.01; DeKalb County; Georgia,4965
13089023802,Census Tract 238.02; DeKalb County; Georgia,3357
13089023803,Census Tract 238.03; DeKalb County; Georgia,5736
13089980000,Census Tract 9800; DeKalb County; Georgia,0
13121000100,Census Tract 1; Fulton County; Georgia,5160
13121000201,Census Tract 2.01; Fulton County; Georgia,2233
13121000202,Census Tract 2.02; Fulton County; Georgia,4106
13121000400,Census Tract 4; Fulton County; Georgia,2014
13121000501,Census Tract 5.01; Fulton County; Georgia,4385
13121000502,Census Tract 5.02; Fulton County; Georgia,1779
13121000601,Census Tract 6.01; Fulton County; Georgia,4626
13121000602,Census Tract 6.02; Fulton County; Georgia,2960
13121000700,Census Tract 7; Fulton County; Georgia,2897
13121001001,Census Tract 10.01; Fulton County; Georgia,4800
13121001002,Census Tract 10.02; Fulton County; Georgia,7337
13121001101,Census Tract 11.01; Fulton County; Georgia,3405
13121001102,Census Tract 11.02; Fulton County; Georgia,3488
13121001203,Census Tract 12.03; Fulton County; Georgia,2717
13121001204,Census Tract 12.04; Fulton County; Georgia,1939
13121001205,Census Tract 12.05; Fulton County; Georgia,1973
13121001206,Census Tract 12.06; Fulton County; Georgia,3319
13121001301,Census Tract 13.01; Fulton County; Georgia,3271
13121001302,Census Tract 13.02; Fulton County; Georgia,2050
13121001400,Census Tract 14; Fulton County; Georgia,2302
13121001501,Census Tract 15.01; Fulton County; Georgia,2334
13121001502,Census Tract 15.02; Fulton County; Georgia,2127
13121001600,Census Tract 16; Fulton County; Georgia,2318
13121001701,Census Tract 17.01; Fulton County; Georgia,2169
13121001702,Census Tract 17.02; Fulton County; Georgia,3653
13121001801,Census Tract 18.01; Fulton County; Georgia,2412
13121001802,Census Tract 18.02; Fulton County; Georgia,2577
13121001901,Census Tract 19.01; Fulton County; Georgia,3862
13121001902,Census Tract 19.02; Fulton County; Georgia,2337
13121002100,Census Tract 21; Fulton County; Georgia,2578
13121002300,Census Tract 23; Fulton County; Georgia,1129
13121002400,Census Tract 24; Fulton County; Georgia,2804
13121002500,Census Tract 25; Fulton County; Georgia,3123
13121002600,Census Tract 26; Fulton County; Georgia,1071
13121002801,Census Tract 28.01; Fulton County; Georgia,3945
13121002802,Census Tract 28.02; Fulton County; Georgia,1715
13121002900,Census Tract 29; Fulton County; Georgia,2350
13121003000,Census Tract 30; Fulton County; Georgia,3974
13121003100,Census Tract 31; Fulton County; Georgia,2710
13121003200,Census Tract 32; Fulton County; Georgia,2787
13121003500,Census Tract 35; Fulton County; Georgia,2904
13121003600,Census Tract 36; Fulton County; Georgia,1133
13121003700,Census Tract 37; Fulton County; Georgia,191
13121003800,Census Tract 38; Fulton County; Georgia,3911
13121003900,Census Tract 39; Fulton County; Georgia,1562
13121004000,Census Tract 40; Fulton County; Georgia,2770
13121004100,Census Tract 41; Fulton County; Georgia,2137
13121004200,Census Tract 42; Fulton County; Georgia,2274
13121004300,Census Tract 43; Fulton County; Georgia,2447
13121004400,Census Tract 44; Fulton County; Georgia,3628
